content,cleaned_content,sentiment
Love the app!❤️💯,love app,positive
Scammer..,scammer,neutral
Very cool and smooth application,cool smooth application,positive
"Works well. Interface is relatively intuitive. Payments are quick and notifications seem consistent. 4 stars if you consider that alone. Horrible currency conversion rates, additional fees, predatory transaction behavior. 2 stars when evaluated as a service.",works well interface relatively intuitive payments quick notifications seem consistent stars consider alone horrible currency conversion rates additional fees predatory transaction behavior stars evaluated service,negative
I have tried all ways to open PayPal account but it's not working they kept putting limitation on every account open. Please I'm only trying to open the account for tiktok withdraw.,tried ways open paypal account working kept putting limitation every account open please trying open account tiktok withdraw,positive
Easy to use,easy use,positive
Convenient,convenient,neutral
"Excellent, Secure, simple and fast 5*",excellent secure simple fast,positive
Used to be good back in the day when this was just about the only choice.,used good back day choice,positive
"I'm having an issue Transferring my balance to my revolut in that it won't transfer, never was an issue before",issue transferring balance revolut transfer never issue,neutral
It's good I wish I could transfer directly to my bank account.,good wish could transfer directly bank account,positive
Efficient,efficient,positive
Wayyyyy too many fees to send $$ absolutely disgusting,wayyyyy many fees send absolutely disgusting,negative
Remove this stupid limitation on my account you capitalist,remove stupid limitation account capitalist,negative
Feake don't Download this app west timing lose ur data,feake download app west timing lose ur data,negative
PayPal is fast and convenient. No issues so far. Its best to use their app for faster use.,paypal fast convenient issues far best use app faster use,positive
Everytime i try to reset my password it never works never I've tried three different times with yall and every si gle time it says thr same thing error please try again and never works I'm done with all of this would never recommend can't change a password ridiculous,everytime try reset password never works never tried three different times yall every si gle time says thr thing error please try never works done would never recommend change password ridiculous,negative
"I unfortunately broke my phone so I'm using my old old Motorola 6 to use the app n it works great, I love the new design.....",unfortunately broke phone using old old motorola use app n works great love new design,positive
the paypal is very nice,paypal nice,positive
It has even refused to work in my phone.,even refused work phone,negative
Good experience. Got Money and sent it. I like the buyer-seller-protection-function,good experience got money sent like buyer seller protection function,positive
"As a Freelancer, its frustrating and sad that paypal doesn't allow us Sri Lankans to receive money from abroad but only send. This is a huge barrier for us to be a part of the global stage. In almost every opportunity to be more established, PayPal is the only option given. We are helpless coz we cant proceed with paypal. Kindly give us the access to recieve money again. This is utterly frustrating and hard on us competitively and well financially. We're losing potential clients because of this",freelancer frustrating sad paypal allow us sri lankans receive money abroad send huge barrier us part global stage almost every opportunity established paypal option given helpless coz cant proceed paypal kindly give us access recieve money utterly frustrating hard us competitively well financially losing potential clients,negative
Nice challenges and versions of games,nice challenges versions games,positive
The best..,best,positive
🐸😇🙏,,neutral
too much minimum cash in. what if your paypal just have 300php than you can't cash out it. cuz the minimum range is 500php 🤧🤧🤧,much minimum cash paypal php cash cuz minimum range php,neutral
"Excellent, really easy to use.",excellent really easy use,positive
very happy with PayPal makes me feel safe buying items and sending money to family .,happy paypal makes feel safe buying items sending money family,positive
Very racist app,racist app,negative
"𝘊𝘶𝘴𝘵𝘰𝘮𝘦𝘳 𝘴𝘦𝘳𝘷𝘪𝘤𝘦 𝘵𝘦𝘢𝘮 𝘴𝘶𝘤𝘬𝘴 𝘵𝘰𝘵𝘢𝘭𝘭𝘺. 𝘋𝘰𝘯'𝘵 𝘦𝘷𝘦𝘯 𝘣𝘰𝘵𝘩𝘦𝘳 𝘸𝘢𝘴𝘵𝘪𝘯𝘨 𝘺𝘰𝘶𝘳 𝘵𝘪𝘮𝘦, 𝘭𝘰𝘭. 😂 𝘛𝘩𝘢𝘵 𝘯𝘶𝘮𝘣𝘦𝘳 𝘪𝘴 𝘣*******. 𝘕𝘦𝘷𝘦𝘳 𝘨𝘰𝘵 𝘤𝘰𝘯𝘯𝘦𝘤𝘵𝘦𝘥 𝘢𝘯𝘥 𝘵𝘩𝘢𝘵'𝘴 𝘣𝘦 𝘮𝘺 𝘳𝘦𝘷𝘪𝘦𝘸/ 𝘧𝘦𝘦𝘥 𝘣𝘢𝘤𝘬 𝘰𝘯 𝘮𝘺 𝘦𝘹𝘱𝘦𝘳𝘪𝘦𝘯𝘤𝘦. 𝘞𝘪𝘭𝘭 𝘯𝘦𝘷𝘦𝘳 𝘨𝘦𝘵 𝘵𝘩𝘳𝘰𝘶𝘨𝘩. 𝘐𝘧 𝘺𝘰𝘶 𝘭𝘰𝘴𝘵 𝘺𝘰𝘶𝘳 𝘱𝘢𝘴𝘴𝘸𝘰𝘳𝘥 𝘰𝘳 𝘧𝘰𝘳𝘨𝘰𝘵, 𝘺𝘰𝘶 𝘸𝘪𝘭𝘭 𝘯𝘦𝘷𝘦𝘳 𝘣𝘦 𝘢𝘣𝘭𝘦 𝘵𝘰 𝘨𝘦𝘵 𝘣𝘢𝘤𝘬 𝘰𝘯.",𝘊𝘶𝘴𝘵𝘰𝘮𝘦𝘳 𝘴𝘦𝘳𝘷𝘪𝘤𝘦 𝘵𝘦𝘢𝘮 𝘴𝘶𝘤𝘬𝘴 𝘵𝘰𝘵𝘢𝘭𝘭𝘺 𝘋𝘰𝘯 𝘵 𝘦𝘷𝘦𝘯 𝘣𝘰𝘵𝘩𝘦𝘳 𝘸𝘢𝘴𝘵𝘪𝘯𝘨 𝘺𝘰𝘶𝘳 𝘵𝘪𝘮𝘦 𝘭𝘰𝘭 𝘛𝘩𝘢𝘵 𝘯𝘶𝘮𝘣𝘦𝘳 𝘪𝘴 𝘣 𝘕𝘦𝘷𝘦𝘳 𝘨𝘰𝘵 𝘤𝘰𝘯𝘯𝘦𝘤𝘵𝘦𝘥 𝘢𝘯𝘥 𝘵𝘩𝘢𝘵 𝘴 𝘣𝘦 𝘮𝘺 𝘳𝘦𝘷𝘪𝘦𝘸 𝘧𝘦𝘦𝘥 𝘣𝘢𝘤𝘬 𝘰𝘯 𝘮𝘺 𝘦𝘹𝘱𝘦𝘳𝘪𝘦𝘯𝘤𝘦 𝘞𝘪𝘭𝘭 𝘯𝘦𝘷𝘦𝘳 𝘨𝘦𝘵 𝘵𝘩𝘳𝘰𝘶𝘨𝘩 𝘐𝘧 𝘺𝘰𝘶 𝘭𝘰𝘴𝘵 𝘺𝘰𝘶𝘳 𝘱𝘢𝘴𝘴𝘸𝘰𝘳𝘥 𝘰𝘳 𝘧𝘰𝘳𝘨𝘰𝘵 𝘺𝘰𝘶 𝘸𝘪𝘭𝘭 𝘯𝘦𝘷𝘦𝘳 𝘣𝘦 𝘢𝘣𝘭𝘦 𝘵𝘰 𝘨𝘦𝘵 𝘣𝘢𝘤𝘬 𝘰𝘯,neutral
very quick and hassle free service thank you.,quick hassle free service thank,positive
Waste of data...pls don't not download... this is my second time trying to open an account on Paypal and they end up blocking and limiting my account instantly after opening without any reason😡so annoying and waste of time and my dad😡😡,waste data pls download second time trying open account paypal end blocking limiting account instantly opening without reason annoying waste time dad,negative
Just love it!,love,positive
Excellent app for sending and receiving money,excellent app sending receiving money,positive
"Unable to transfer money to debit card with no fee. Only give the option to do so with a fee. 1-3 days, no fee option, does not allow it to go to my debit or credit card.",unable transfer money debit card fee give option fee days fee option allow go debit credit card,positive
Great!,great,positive
Good,good,positive
"Installed 9/8, Updated 10/6,7,18/'24.|Once I use the app, I'll adjust my rating.| 🇺🇦 SLAVA UKRAINE! 🇺🇦 'NUFF SAID 🖖😎||",installed updated use app adjust rating slava ukraine nuff said,neutral
Please 🙏🙏🙏 Add Pakistan country,please add pakistan country,positive
Awesome app to use!,awesome app use,positive
I can use the card anywhere,use card anywhere,neutral
Best app,best app,positive
Very easy to use,easy use,positive
Love using PayPal to pay for things.. it's quick and easy.,love using paypal pay things quick easy,positive
Good but hard to see my balance,good hard see balance,positive
Does the Job,job,neutral
PayPal it'll make you pay,paypal make pay,negative
Good,good,positive
It's safe to use PayPal love it,safe use paypal love,positive
"Incorrect information; doesn't allow me to correct my details, and I have never seen the money you say you have sent me. Who is getting the money from you??? 😡 So, I am deleting this scam.!!!",incorrect information allow correct details never seen money say sent getting money deleting scam,negative
I can't log into PayPal,log paypal,neutral
"I try to open it, after ages of it working just fine, and as of a few days ago it won't open. It crashes in the same instant i open it. And why do my options for verification change? One phone allows me to verify using my phone number or card number, but another only allows my phone number. Useless until fixed.",try open ages working fine days ago open crashes instant open options verification change one phone allows verify using phone number card number another allows phone number useless fixed,negative
Garbage 🗑,garbage,neutral
Awesome,awesome,positive
Need to be shown how to use this for games please,need shown use games please,positive
Very convenient and easy!,convenient easy,positive
"Aplicación que apoyan a los estafadores, no es de fiar, solo protegen a los estafadores",aplicación que apoyan los estafadores es de fiar solo protegen los estafadores,neutral
Am not sure but this thing is so amazing for me because l can generally balance my expenditures and earnings.........,sure thing amazing l generally balance expenditures earnings,positive
Until they start actually being helpful and nice and I can actually access My money I'm not sure I actually like any of these banking apps,start actually helpful nice actually access money sure actually like banking apps,positive
Didn't ask for my password was weird let me send money without password gotta do better,ask password weird let send money without password got ta better,positive
Great,great,positive
I've had PayPal for awhile now and only had one problem accepting an e-check,paypal awhile one problem accepting e check,negative
Very convenient,convenient,neutral
Good app,good app,positive
Fast and Reliable. Love it,fast reliable love,positive
Easy to use and easy to change details. Marvellous,easy use easy change details marvellous,positive
"I used PayPal without incident for years, but recently they updated their user interface. I have no problem with the update accept when I went to add money ontoy PayPal card as I had a thousand times before it set up an autoloading feature and took $300 out of my bank account I didn't want taken out. I couldn't afford to have that money stay out of my account so I had to pay $5.25 to be able to instantly transfer the money back to my account. Not happy to lose 5 bucks to PayPal's feature pushing",used paypal without incident years recently updated user interface problem update accept went add money ontoy paypal card thousand times set autoloading feature took bank account want taken afford money stay account pay able instantly transfer money back account happy lose bucks paypal feature pushing,positive
PayPal really upgraded their app now it's GREAT THANX PAYPAL!!,paypal really upgraded app great thanx paypal,positive
Great app! send money in seconds.,great app send money seconds,positive
"Awesome, not complicated at all",awesome complicated,positive
"Guys, don't be crazy to apply for PayPal cash back Mastercard, I applied for it they approved me for 20000 credit line after 6 months the lowest my credit line to 100 all my payments made on time, and I was spending more than 2000 dollars per month and what they did affected my credit score a lot. If you don't want to hurt your credit score, just don't apply for this PayPal credit card. I just decided to close my account with them.",guys crazy apply paypal cash back mastercard applied approved credit line months lowest credit line payments made time spending dollars per month affected credit score lot want hurt credit score apply paypal credit card decided close account,positive
ease of use. really good,ease use really good,positive
Well great!,well great,positive
good,good,positive
Why theres no qr code scan,theres qr code scan,neutral
I love it,love,positive
Pay pal is an awesome service so easy and simple to work with I can't believe I waited so long to use pay pal it's great!!!!!! Awesome 👌 👏 👍 😍 💖 🆒️ 👌 Thanks Pay Pal Lisa,pay pal awesome service easy simple work believe waited long use pay pal great awesome thanks pay pal lisa,positive
Now made incompatible with my devices forno good reason!,made incompatible devices forno good reason,positive
Best thing for international business!,best thing international business,positive
No problems. Great app! Easy to use!!,problems great app easy use,positive
I've calmed down alittle bit since my last rating. I guess they're Ok....,calmed alittle bit since last rating guess ok,positive
"Apps works smoothly, not much to say there",apps works smoothly much say,neutral
Easy when I do the right thing.,easy right thing,positive
Very help full,help full,positive
"It's very secure and easy to use. I love the settings and accessibility of the app. ONLY THING WRONG is Everytime I try to log in using the one time code to my phone # or Whatsapp, it's even saved as my primary # on my profile, it says that they're unable to send it, AND it'll say after a couple times of trying that I need to call PayPal to verify my identity and that is frustrating but other than that, I love PayPal. I wish it had the borrow option like cash app does though.",secure easy use love settings accessibility app thing wrong everytime try log using one time code phone whatsapp even saved primary profile says unable send say couple times trying need call paypal verify identity frustrating love paypal wish borrow option like cash app though,positive
Got d app to receive winning from games,got app receive winning games,positive
Why is this app controlled by The Play store and why won't it work,app controlled play store work,positive
"Most offers are presented in a straight forward way like a simple 10% cashback. But wait, it takes 60 days for that to process. That's a bummer.",offers presented straight forward way like simple cashback wait takes days process bummer,positive
Excellent and secure,excellent secure,positive
Excellente,excellente,neutral
Slow transactions,slow transactions,neutral
"Great app! Just wish ge Europe version could get a Paypal credit card, other than that 10/10 :)",great app wish ge europe version could get paypal credit card,positive
Awesome work,awesome work,positive
Sylvain tossa,sylvain tossa,neutral
Always painless and hassle free.,always painless hassle free,positive
Just added a new payment method and they wouldn't let me use it. Of course the way allowed had higher fees. Funny how the back up for lower fees was the same as what was used for higher fees.,added new payment method let use course way allowed higher fees funny back lower fees used higher fees,positive
update not working. no access to app. Unable to log in as sign-in window is not working.,update working access app unable log sign window working,neutral
Best app,best app,positive
Super convenient.,super convenient,positive
Works great most of the time.,works great time,positive
Unprofessional & very incompetent,unprofessional incompetent,negative
Quick and easy!,quick easy,positive
A good way to send funds and stay protected from fraudulent dealings.,good way send funds stay protected fraudulent dealings,positive
It's good,good,positive
They get one star from me until I get a response. A seller charged me $7.99 and cannot tell me what I purchased or how to obtain it and nobody will get back to me either from the seller or from PayPal.,get one star get response seller charged tell purchased obtain nobody get back either seller paypal,negative
Love 😘,love,positive
Simple and easy to use! Thank you 😃,simple easy use thank,positive
Great,great,positive
Easy and safe to use 👍,easy safe use,positive
"Cant find wallet to transfer to bank account anymore. Help is no good for searching, keeps telling md how to link instead of transfer money to own acct. Please fis layout",cant find wallet transfer bank account anymore help good searching keeps telling md link instead transfer money acct please fis layout,positive
Always easy to operate payments.,always easy operate payments,positive
Claiming transfer payment fund money,claiming transfer payment fund money,neutral
Works well,works well,positive
This application is no good do not use it I have sent PayPal multiple cash transfers and they tell me I don't have any funds it's a scam,application good use sent paypal multiple cash transfers tell funds scam,negative
Recommend installing the app,recommend installing app,positive
Bearer Agent,bearer agent,neutral
Have been trying to send money PayPal keeps of denying I don't understand where the problem is,trying send money paypal keeps denying understand problem,negative
Fantastic❤❤❤❤❤,fantastic,positive
"Worst customer service. They have many positive thing, but once you have inconveniences and issues, they will use it against you and not help you at all keep repeating themselves. You can keep connected to the same customer service agent and keep switching, and they don't get the right resolution. Closed and deleted",worst customer service many positive thing inconveniences issues use help keep repeating keep connected customer service agent keep switching get right resolution closed deleted,positive
Absolute scam of an app. Always thought that (since they are one of the absolute favourite payment option for scammers). I said lets try it tho. I sent money 3 times. 2 of those times i was taken a fee without any type of information reguarding to why nor how much. I have to text them on their chat to find ill informed staff that abandones me mid conversation. Absolutely ridiculous to be informed AFTER i made my transaction that they take an automatic fee.,absolute scam app always thought since one absolute favourite payment option scammers said lets try tho sent money times times taken fee without type information reguarding much text chat find ill informed staff abandones mid conversation absolutely ridiculous informed made transaction take automatic fee,negative
"Best app ever, Brilliant!!? 👍🏽",best app ever brilliant,positive
"Worst app it cuts the money you have on its account slowly by slowly, I don't recomand to download it😭",worst app cuts money account slowly slowly recomand download,negative
I need help seriously though I have to use the app to work including the investment,need help seriously though use app work including investment,positive
Li wish I could spend my earned paypal in my Temu app,li wish could spend earned paypal temu app,positive
Disappointed !! Payments issues for years are not fixed!! 🤬😡🤬,disappointed payments issues years fixed,negative
"Excellent service and speed, thanks",excellent service speed thanks,positive
Bustrd this app,bustrd app,neutral
Never had a problem using the app.,never problem using app,positive
"PayPal gets better and better, I've used this service since it started, and don't think I will ever stop thats more than can be said of other money apps , excellent keep it up.",paypal gets better better used service since started think ever stop thats said money apps excellent keep,positive
Worst experience,worst experience,negative
Excellent,excellent,positive
Best service and response very fast,best service response fast,positive
The app doesn't respond properly. this is for a long time still not fixed.,app respond properly long time still fixed,neutral
"Paypal doesn't always follow my payment selection for each merchant. Last month it skipped both my preferred and secondary payment methods to go straight to my savings account, which I had never intended for use in payments. This broke my cash flow planning. They don't even allow you to file a complaint about payment method error.",paypal always follow payment selection merchant last month skipped preferred secondary payment methods go straight savings account never intended use payments broke cash flow planning even allow file complaint payment method error,negative
Best thing ever😍😍😍,best thing ever,positive
I do not understand. I am disabled,understand disabled,neutral
"The app works good but the verification ( fingerprint or pin) when making a purchase is annoying. I understand security is important but ""verify it is you"" is a little too much.",app works good verification fingerprint pin making purchase annoying understand security important verify little much,positive
No coment.,coment,neutral
Easy to use,easy use,positive
Now just started,started,neutral
Cool,cool,positive
Other than the 6 month return policy absolutely lovely,month return policy absolutely lovely,positive
good,good,positive
Don't give Google my account,give google account,neutral
Classic! Simple UI and so easy to use!,classic simple ui easy use,positive
Good,good,positive
Very fast and no stress 👌,fast stress,negative
Partners in the world of Humanity 💗🙏 Habibi,partners world humanity habibi,neutral
Easy to use,easy use,positive
My experience has been really good. Safe and secure. I love it,experience really good safe secure love,positive
Points do not show on my app! They do on my desktop but nowhere to be found on the android.,points show app desktop nowhere found android,neutral
It's great to have PP. Joined right when it started. Would have given 4 stars but recently started having problems with Pay-In-3 even when the option is available! It won't work. Just when I needed to pay for £0000s for citizenship. Thanks PP.,great pp joined right started would given stars recently started problems pay even option available work needed pay citizenship thanks pp,positive
Deleting the app. So tired of people paying a huge fee to send me money just for me to pay a fee myself. Literally takes up to $50 from me at a time just in fees. I'll stick to cash app👌,deleting app tired people paying huge fee send money pay fee literally takes time fees stick cash app,negative
Good,good,positive
Number One!!!!,number one,positive
"Except for other countries why can't Nigerians also use this app,pls fix this problem,also ur questioning is too much reduce it pls",except countries nigerians also use app pls fix problem also ur questioning much reduce pls,negative
"PayPal has been a rip-off, specially for auto renewal things that doesn't let you know and it ought to be news annual subscriptions, they're not clear as to who's the charges are for. Shady company",paypal rip specially auto renewal things let know ought news annual subscriptions clear charges shady company,positive
So far has been great. I've used this 3 times.,far great used times,positive
Great,great,positive
Easy and secure,easy secure,positive
It's easy to use and it's good,easy use good,positive
"Very lousy!! I had 40 dollars sent to a card that I don't even have anymore, and I was told I can't get it back. I will never use your services again!",lousy dollars sent card even anymore told get back never use services,negative
Is like you PayPal company usually frustrate I can receive money,like paypal company usually frustrate receive money,negative
I am Ali Hossain. I am biasness man.I am Very Nice,ali hossain biasness man nice,positive
Love using PayPal,love using paypal,positive
no Experienced,experienced,neutral
Awesome appp,awesome appp,positive
I don't have account number on my PayPal,account number paypal,positive
many hidden fees :(,many hidden fees,neutral
"the ""we couldn't confirm it's you"" keeps popping up",confirm keeps popping,neutral
It's fun game,fun game,positive
A broken app and credit card scam,broken app credit card scam,negative
"Has worked very well for me over many years. Very flexible. However, having to verify myself on my own phone every time I want to use the app is so unacceptable. Not being able to flag my phone as a trusted device is a huge nuisance.",worked well many years flexible however verify phone every time want use app unacceptable able flag phone trusted device huge nuisance,positive
Great app,great app,positive
Very convenient,convenient,neutral
Sehr gut,sehr gut,neutral
I can always count on Pay Pal to protect my finances. Thank You,always count pay pal protect finances thank,positive
It works but for the fees they charge it should be more user friendly. Venmo is way more so and if I didn't need to make international transfers I would never touch PayPal,works fees charge user friendly venmo way need make international transfers would never touch paypal,positive
very useful!,useful,positive
Excellent service,excellent service,positive
PayPal's purchase protection is a complete lie. They will side with the scammers instead of the consumer. Do not be fooled! Now they won't even let me delete my account. I'm so appalled and disappointed. I will never use this app again.,paypal purchase protection complete lie side scammers instead consumer fooled even let delete account appalled disappointed never use app,negative
I used to b able to verify my account through the email address I registered with but now it won't let me. I've updated my phone number too and it still wants to verify me with my old device that I don't have access to m I have money on there I can't get to if I can't even verify my account to login.,used b able verify account email address registered let updated phone number still wants verify old device access money get even verify account login,positive
First time,first time,neutral
I'M trying to get aap for my paypal cash back credit card,trying get aap paypal cash back credit card,positive
Best place for your money!,best place money,positive
Perfect,perfect,positive
Great way to move money around for a day or 2 but watch out they will try and take your money....randomly locked me out my account and taken 2 days and still can't get my money said basically I didn't follow standards I was in the hospital and 3 family members sent me money in 1 day...2 had the same last name and the other has the same name as me and they let me spend most the money before locking the account so if ut was some type of scam I did most what I wanted was only 100 dollars left,great way move money around day watch try take money randomly locked account taken days still get money said basically follow standards hospital family members sent money day last name name let spend money locking account ut type scam wanted dollars left,positive
Love pp,love pp,positive
Great way to waybills and send money,great way waybills send money,positive
Because they would not give you your ten pounds,would give ten pounds,neutral
Difficult to use in South Africa,difficult use south africa,negative
Love paypal,love paypal,positive
"If I could rate MINUS 1k stars, it would be TOO high -- My parents taught me this: ""If you cannot say something NICE, say NOTHING!""",could rate minus k stars would high parents taught say something nice say nothing,positive
Very good,good,positive
Great service,great service,positive
My package has not been delivered!!!!!! Why not?????? Perhaps company not legit that you deal with????? Answers please!!!!!!,package delivered perhaps company legit deal answers please,positive
Difficult to use,difficult use,negative
🇺🇸,,neutral
Excellent App,excellent app,positive
Exchange rate less than what it should be in addition to fees for international even to friends and family.,exchange rate less addition fees international even friends family,positive
"Always remember that "" PayPal company "" is Diskette A and Diskette B company. Their primary/main servers is strict legally "" DOS "" computer operating system until now. None else except DOS.",always remember paypal company diskette diskette b company primary main servers strict legally dos computer operating system none else except dos,positive
Don't know much,know much,neutral
Still can't navigate the payment options or verification of my bank account but Iike the app,still navigate payment options verification bank account iike app,neutral
Great app!,great app,positive
"So far I'm happy with PayPal. As for the card, that was my mistake. I'm new to the PayPal.",far happy paypal card mistake new paypal,positive
I can always count on PayPal!,always count paypal,neutral
Awesome app,awesome app,positive
LOVE!,love,positive
Lovely App,lovely app,positive
Kids love it but when you come home and get some rest and you can you buy a house,kids love come home get rest buy house,positive
Awesome everyone uses PayPal,awesome everyone uses paypal,positive
Simply unacceptable fees that PayPal exists on extortion of the general public,simply unacceptable fees paypal exists extortion general public,negative
I'm a Nigerian and I've tried signing up but it's not working,nigerian tried signing working,neutral
It won't verify my identity,verify identity,neutral
I do not have Playpal and still receive Bill's to pay. I do not use your service. Please remove my name...delete my name completely.,playpal still receive bill pay use service please remove name delete name completely,positive
Does not support linking of virtual USD accounts,support linking virtual usd accounts,positive
process can be slow,process slow,neutral
Love it,love,positive
Convenient and safe.,convenient safe,positive
"PayPal has always been a really really good part of my www life, can't speak highly enough really, consistency is a good part of what PayPal do....and do even better now.",paypal always really really good part www life speak highly enough really consistency good part paypal even better,positive
"I've used PayPal almost since the beginning, but this App is intrusive and annoying with its constant pestering.",used paypal almost since beginning app intrusive annoying constant pestering,negative
"Horrible product for new customers!!! Max purchase of $100 and then they hold YOUR money for WEEKS! Yes, you ready that correctly, run a card today and receive money from PayPal multiple weeks from now.",horrible product new customers max purchase hold money weeks yes ready correctly run card today receive money paypal multiple weeks,positive
Like whats the use of it in countries like nepal .I just recieved some CAD currency but they stole it.,like whats use countries like nepal recieved cad currency stole,positive
PayPal is very good service,paypal good service,positive
Awesome quick & fast at sending Money 💰.,awesome quick fast sending money,positive
to.many changed,many changed,neutral
A bit tricky but good,bit tricky good,positive
"I downloaded it just to accept payment for a couple things I was selling online. It's been more than a week and there is still no payment on my card, like 3 issues I've had to contact xoom about, and all for 29.22 to get on my card. Ridiculous",downloaded accept payment couple things selling online week still payment card like issues contact xoom get card ridiculous,positive
So easy to use,easy use,positive
"in the application everything is tight for Europe, you can't withdraw or put money on the card, there is no option for a card from PayPal",application everything tight europe withdraw put money card option card paypal,neutral
"There not a financial institution there a fraud agency, any and all disputes go in the favor of all pay-e,there not fdic insured and there customer service isn't in the states so good luck understanding anyone, use at own risk they will get you",financial institution fraud agency disputes go favor pay e fdic insured customer service states good luck understanding anyone use risk get,positive
"Easy to send money to buy something, easy to figure out how to use the feature.",easy send money buy something easy figure use feature,positive
Kinda bogus cuz for some reason my PayPal app completely stopped working for my phone and is now saying it ain't compatible with my device.....really screws me over not being able to update my resources!!!,kinda bogus cuz reason paypal app completely stopped working phone saying compatible device really screws able update resources,negative
"This app is not helpful at all, it's very deficult to log in, and it's rejected all the Atm cards I am using, I initially used verve gets rejected, I went for master card it also got it rejected. So I abonded it. Right now I am not using it.",app helpful deficult log rejected atm cards using initially used verve gets rejected went master card also got rejected abonded right using,negative
☺️ first time i try this App,first time try app,neutral
Works like a charm,works like charm,positive
Good app,good app,positive
Excellent Service,excellent service,positive
Great app and love using it,great app love using,positive
Good app,good app,positive
"Discrimination on our country Myanmar, why?",discrimination country myanmar,neutral
Always comes in handy like Google wallet,always comes handy like google wallet,positive
If I could give 0 stars I would!!!,could give stars would,neutral
I am going to report this to the police. And if you don't stop useing my account I will shut down all your business and some th,going report police stop useing account shut business th,negative
PayPal has always been the one of the best apps,paypal always one best apps,positive
perfect,perfect,positive
Thus company does Not have your back when it comes to a conflict. They don't care about the little guys and I will spread this world wide with proof.,thus company back comes conflict care little guys spread world wide proof,positive
Great,great,positive
My experience is not good when it comes to your personal information.,experience good comes personal information,positive
Everything is perfect and simple with high security,everything perfect simple high security,positive
"Quick, easy to use, secure. Great app.",quick easy use secure great app,positive
My favorite app,favorite app,positive
fast and quick payments,fast quick payments,neutral
The best way to use.around the world,best way use around world,positive
Excellent App!,excellent app,positive
The app is good,app good,positive
"Crooks. Do not use this company to receive money for selling goods. They will let people lie on you saying you did t give them their items, then they automatically side with the customer, not you the seller. My account is currently locked with hundreds of dollars stuck in limbo because PayPal is letting someone lie and say they did not receive an item worth 40$. They immediately screwed me without ever hearing my side. Now my money is stuck and I can't do anything. worst customer service ever",crooks use company receive money selling goods let people lie saying give items automatically side customer seller account currently locked hundreds dollars stuck limbo paypal letting someone lie say receive item worth immediately screwed without ever hearing side money stuck anything worst customer service ever,negative
Need anything from the hospital 🏥,need anything hospital,neutral
Veery good APP. I use PayPal often...,veery good app use paypal often,positive
Good just,good,positive
Nice,nice,positive
Love paypal,love paypal,positive
I have been having quite a few problems here. I do not recommend this app,quite problems recommend app,negative
Customer service is really bad,customer service really bad,negative
Ok,ok,positive
I so much hate this app worst app ever,much hate app worst app ever,negative
Does not accept new accounts password so frustrating P.P,accept new accounts password frustrating p p,negative
Nothing special,nothing special,negative
"Exceptional, fast and reliable",exceptional fast reliable,neutral
Pay in 4 doesn't work,pay work,negative
It's nice and good.,nice good,positive
I love it,love,positive
I hope to get more gift money.,hope get gift money,positive
Protection and security,protection security,positive
Tengo un problema no me deja poner un nuevo password,tengo un problema deja poner un nuevo password,neutral
Easy,easy,positive
App runs flawless until you try and request a refund. Between extra long loading screens and crashes it took 10 attempts and about half an hour to submit a request,app runs flawless try request refund extra long loading screens crashes took attempts half hour submit request,positive
Essential these days.,essential days,neutral
No issues,issues,neutral
"A few tweaks to better acclimate the customer to the platform. Over the next few years should keep this the go to of elders and youngsters bday cards crypto 5. For years to come. Extra feedback is a pal knowing business perspective feedback. Worth. ♥️💌🏅your pal, maybe focuse perspective and agreements updated. 😉😌-your platform user since.. well first online subshop QuickPay trusted transactions and transfers. Ebay sound as well. 2008 to... maybe IT IP in other countries help?",tweaks better acclimate customer platform next years keep go elders youngsters bday cards crypto years come extra feedback pal knowing business perspective feedback worth pal maybe focuse perspective agreements updated platform user since well first online subshop quickpay trusted transactions transfers ebay sound well maybe ip countries help,positive
it was asit aas just as it came,asit aas came,positive
"I can't use PayPal don't know why, I have 100.dollars ,and can't use it..so send my money to me.",use paypal know dollars use send money,neutral
"By far the worst app for moving money ever created. Try transacting anything over $500 and they deny your transactions and put your account on hold. Then customer service says ""just wait and try again later."" No real solutions provided at all. Real financial institutions are quick to provide solutions and they give transparency on their security hold policies. Paypal seems like it's designed by 12 year olds. If you want your money to be controlled by an worthless algorithm, use Paypal.",far worst app moving money ever created try transacting anything deny transactions put account hold customer service says wait try later real solutions provided real financial institutions quick provide solutions give transparency security hold policies paypal seems like designed year olds want money controlled worthless algorithm use paypal,negative
Why anyone would want to open a debit card or savings with this unreliable and anti-consumer company is beyond me.,anyone would want open debit card savings unreliable anti consumer company beyond,negative
Good App ✅,good app,positive
Nope Ok look it is not compatible with my tablet and it is a mbl I dnt carry it on my phone just so reasons but my tablet I carry everything expect for pay pal.,nope ok look compatible tablet mbl dnt carry phone reasons tablet carry everything expect pay pal,negative
Looser then a love goose lying hand in hole,looser love goose lying hand hole,positive
I can't remember when it was not easy to use it,remember easy use,positive
Not informative enough,informative enough,neutral
very good,good,positive
Love it more than my bank. Incredible savings rate,love bank incredible savings rate,positive
Please give us option to withdraw or money to gcash,please give us option withdraw money gcash,positive
Fast way to pay your bills online without leaving your House,fast way pay bills online without leaving house,negative
There are so many ads that I can't even find basic features in the app anymore.,many ads even find basic features app anymore,neutral
It does not work as it easy in ads,work easy ads,positive
